"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.91489715124167","5.00152805064397","5.93667600527357","6.75927174645988","9.49538738257672","10.8244974883694","9.82523301677999","10.8413413290045","11.8959884930874","5.85682753416109","4.99210619976997","4.39818480925157","4.56740537730946","3.99301255607588","8.39226411408479","12.5869547646631","4.24549195907641","10.2460963358125","15.0708049177075","15.4754614603893","16.7401966898059","15.8648278820643","17.1229041781619","17.3578939246364","17.8122814334042","18.8513550991843","","",
"Africa Eastern and Southern","AFE","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.20861518604715","5.7915523280116","6.27181260719965","7.14277657078349","7.75969860328312","7.52318530404373","6.94027430673973","6.68969618408886","7.12145871046066","6.43606617270522","6.48030900357113","6.59750078423448","6.00124359822708","5.39388158330073","5.41983947831302","5.89488758284456","5.16231951371211","4.45255152422535","4.02607815178957","4.18375419982484","4.86180375858303","5.05308560052843","5.11933360491935","4.78152600730729","5.23552035296314","","","",
"Afghanistan","AFG","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01833894909722","1.72112836697912","1.83667067700926","3.53808215690225","1.12575275556025","1.37250239634978","1.69766312411754","1.7843923018448","1.21460632498981","1.63389324656947","2.82937174604224","2.27925799913782","0.701718914339217","","",
"Africa Western and Central","AFW","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.448890955071","11.8916135896727","14.3055007306558","13.015388212239","6.14729140864185","6.1305252553981","6.19144602315821","6.25932119404963","8.24379027859383","","4.53388856194165","8.30224698471467","10.1708104231287","11.5053539571879","9.47211452842378","8.6861469998177","8.05724375615793","7.86353348539262","7.88131152711505","7.64297579278332","8.69073739191345","7.04654748458556","9.69278377795384","11.2540701456462","11.7317867636297","","","",
"Angola","AGO","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.21107747846873","2.46429516341749","2.40272796121805","2.03625812117008","2.48963819595907","2.54400607773507","1.19450943737112","0.734243795836534","0.556738775052417","0.808687735251078","0.891429156256578","2.41269816562604","1.79815707274069","1.03660512923927","0.645479784351919","0.776370722604321","0.735791047875332","0.628160033280797","0.639765830697099","0.943256700156265","1.02452634658014","3.20769786123003","4.30342893395539","2.94352197094216","3.215343435747","4.56235480401656","","",
"Albania","ALB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.27218368811289","2.24941515206046","1.89556183359154","2.80805656957598","3.69900655252589","21.4767088795083","16.8641464484985","21.1216354493272","22.3749004761121","23.1268088369536","23.0834119188353","24.281157029946","24.9057976767104","24.4326591033007","28.0659043814401","25.1179546070202","24.9960686245511","23.4778135287766","26.077673872918","27.0707081546519","25.8566641402658","24.5892114234727","24.0589869528205","25.5314674703335","26.7405364956151","14.1943123522602","","",
"Andorra","AND","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.20230138613722","","","",
"Arab World","ARB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4593227335631","10.1453959691302","9.63204289081247","7.60474326825452","7.77051438829737","9.54745990394974","7.1704222113675","8.68230246717688","8.61313536774561","8.11409562641717","7.85904496952964","7.96337987416895","8.75683480183356","9.84306351129974","10.6096596010842","10.5294011975513","9.78343539843363","10.5281054381256","","","",
"United Arab Emirates","ARE","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4137966808446","14.7258372485795","13.2572371267762","13.6142731168039","15.8890915730279","16.5110296556327","17.713390820939","20.5740026782193","16.0057592962379","11.5297638986128","10.2135270895557","9.80808614069035","9.48055476149587","8.77310158457467","11.6901654929959","9.37488699684106","8.59777278845781","10.1526534471861","9.32539540339701","9.68288399543666","12.2000260949546","16.2728419653326","15.8771787647257","15.0699719483025","14.78807039331","5.24657959288086","","",
"Armenia","ARM","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60159997434015","2.86780084064597","4.60776161676692","5.49615347418194","5.64556729384852","5.67979396910915","5.44660204856831","7.04207833917004","6.34124310864207","11.2904084589597","11.376606462776","11.1858436806996","11.0959293120137","9.74144973987652","12.635066549415","14.127771550521","15.3726279358666","17.032460443743","18.3858618095078","20.0646823330097","23.918389871403","23.107765592608","21.542413329103","19.9857190359168","20.2935280738801","6.49312744929812","","",
"American Samoa","ASM","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.62971082599452","11.1320531540478","10.9356956409107","10.9191971279902","9.79781328811019","10.0810843701154","4.7313504566277","","",
